,Neighborhood_FID,Distance_University,Park_1,Park_2,Distance_Oper,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Area_Types,Area_Count,City_Name,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover,Number_ways,Length_ways,Distance_station,Distance_monuments,Distance_POI
152,72,6081766.697341286,6081690.423927327,6082446.486946323,6083509.569856358,3906,0,1636,0,0,2016,16,0,184,0,0,408,9,0,0,3461,13,1036,1627,805,0,37,585,817,1019,690,357,290,0,0,0,3791,9,101,261,1523,1247,375,215,0,420,2358,0,210,643,9,20,57,703,509,2336,302,211,242,1088,101,96,279,1037,331,135,302,384,731,17,2522,106,0,1600,504,1060,352,363,2155,789,487,232,0,0,0,132,55,3,6,3,194,73,0,0,0,0,0,0,0,0,1164,519,283,59,39,267,254,1580,3670,1382,930,841,346,98,1382,1523,0,250,292,33,98,1382,1162,542,334,89,71,0,0,0,8429,738,886,1159,1044,1397,1111,941,720,401,1440,1363,2447,1660,1527,3606,3388,680,734,12,0,0,6,6521,466,639,539,211,4310,4114,828,3228,4363,7239,205,679,222,29,7239,13,6,6,0,9,3,0,76,7,17,495,6,448,7239,1181,7655,725,3,38,CommercialBuildingArea_Residential_SpecialUseArea,6,Bremen,68,3310,9914,12709,5,152,0.0,13620,856,207344.9068523109,9986.675074324658,6083343.211139994,6084395.407910717
153,73,6085030.092783513,6084951.815902136,6085707.647037303,6086770.305562678,3248,0,1532,6,0,1561,3,0,98,0,0,826,0,0,0,2404,45,675,1197,784,0,45,465,697,779,558,365,245,0,0,0,3171,6,71,183,396,1331,742,284,6,833,1802,0,0,429,11,0,45,1334,511,1311,48,452,313,322,351,103,30,780,595,210,48,261,247,84,2472,14,0,1138,522,801,596,210,1795,738,375,175,0,0,0,142,44,0,3,6,92,47,0,0,0,0,0,0,0,0,1047,413,208,32,32,305,230,1225,3096,1195,896,651,216,72,1195,1303,0,224,165,21,72,1195,1054,431,251,43,42,0,0,0,6689,515,661,718,766,1065,953,850,724,388,1057,892,1831,1396,1508,2649,2876,536,612,6,0,0,0,5464,403,323,335,69,3300,3376,662,3070,2942,6097,151,287,130,6,6097,11,6,0,8,0,0,0,52,9,14,197,5,193,6097,585,6142,529,3,6,AgriculturalArea_CommercialBuildingArea_Residential,5,Bremen,67,1007,9561,27913,0,124,0.0,7267,940,239359.73077116063,12929.839524245352,6086603.820932327,6087655.979093622
154,74,6082962.256261348,6082887.522935609,6083643.763960118,6084707.172595307,130,0,90,0,0,15,0,0,3,0,0,6,0,0,0,124,0,0,9,30,0,0,0,0,18,24,9,18,0,0,0,120,0,3,34,12,29,9,3,0,6,121,0,0,0,0,0,0,104,9,0,3,81,3,0,21,6,0,6,0,0,3,0,6,0,107,3,0,95,35,6,0,0,79,18,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,6,0,0,6,18,36,127,25,19,21,3,3,25,54,0,0,3,0,3,25,29,3,6,3,0,0,0,0,361,34,38,15,33,74,44,42,41,0,64,30,117,73,70,152,188,12,18,0,0,0,0,342,0,0,0,0,161,187,19,160,161,357,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,354,3,0,0,AgriculturalArea_Residential,3,Bremen,574,2194,10896,79879,339,7222,1.0,8530,61,160062.48943012086,11707.103737452308,6084540.910550723,6085593.136843788
155,75,6084453.969277658,6084378.435612519,6085134.584048099,6086197.823204574,5218,0,1786,3,0,3272,18,0,74,0,0,785,28,0,0,4387,22,1263,2380,893,0,119,786,1191,1493,760,423,278,0,0,0,5097,6,113,207,248,3805,481,211,3,821,2050,67,1040,931,9,0,17,1648,417,3007,88,522,215,621,216,83,51,887,1870,609,88,1632,290,47,3003,22,0,1405,362,931,1887,609,2932,1092,669,268,0,0,0,176,65,6,12,31,254,127,0,0,0,0,0,0,0,0,1664,661,409,97,18,494,346,2059,5084,2027,1310,1086,505,91,2027,2074,0,302,417,59,91,2027,1640,716,441,119,28,0,0,0,10575,868,1080,1276,1264,1550,1515,1180,1237,581,1737,1523,2810,2177,2349,4212,4510,889,933,9,0,0,0,7764,811,778,1079,73,5101,5461,1409,4636,4525,9449,209,681,187,3,9449,19,6,12,12,9,3,3,103,3,57,493,10,293,9449,1116,8887,1660,0,3,CommercialBuildingArea_Residential,4,Bremen,25,2299,11004,16124,3,36,0.0,12276,1519,261358.9127524952,12813.767518492095,6086031.510842393,6087083.721780794
156,76,6085661.369079344,6085584.810478873,6086340.840345589,6087403.862497075,4327,0,2064,0,0,2015,35,3,114,0,0,1157,80,0,0,3081,5,826,1607,1132,0,28,367,946,1084,709,525,517,0,0,0,4239,0,87,243,305,2833,439,203,6,1242,2339,15,337,126,8,12,78,2125,513,1597,68,835,178,649,266,47,49,1263,653,291,68,39,423,110,3539,23,0,1695,385,1289,661,302,2329,940,401,233,0,0,0,146,43,0,3,9,157,92,0,0,0,0,0,0,0,0,1421,485,270,49,3,471,257,1547,4112,1666,1142,803,346,87,1666,1656,0,243,280,19,87,1666,1421,538,297,65,6,0,0,0,8821,579,847,973,834,1271,1258,1103,1069,824,1257,1184,2117,1828,2449,3472,3632,908,802,6,0,0,0,7530,480,201,387,113,4139,4679,909,4506,3394,8403,101,139,92,17,8403,9,7,3,3,0,3,0,32,6,19,61,6,170,8403,384,8208,586,0,17,Residential,2,Bremen,16,126,6268,25354,0,16,0.0,2070,662,119346.5686825098,13733.043252357897,6087237.485728847,6088289.676973135
157,77,6088251.705885774,6088174.271239613,6088930.19966765,6089993.036139395,3184,0,1543,7,0,1506,12,0,59,0,0,1100,64,0,0,2010,172,411,1283,780,0,205,243,621,860,516,309,333,0,0,0,2892,271,14,110,217,1727,458,221,201,1175,1254,0,5,357,315,0,3,1332,368,1251,202,650,164,172,168,27,68,947,390,383,202,205,208,157,2476,6,0,997,279,951,404,554,1701,734,330,139,0,0,0,202,25,0,0,0,63,41,0,0,0,0,0,0,0,0,1071,332,201,15,3,327,233,1112,3065,1226,954,566,163,96,1226,1249,0,249,141,0,96,1226,1032,442,231,25,3,0,0,0,6210,437,576,850,575,870,801,826,767,507,820,1048,1456,1203,1696,2456,2706,576,453,6,0,0,0,5095,402,132,318,199,2931,3272,673,2774,2758,5638,200,127,179,13,5638,7,6,3,3,0,3,0,27,48,21,34,6,328,5638,558,5873,315,0,13,Residential,3,Bremen,34,29,15339,13147,1,1,0.0,0,365,98547.11990578378,16189.403853672864,6089826.604268941,6090878.778626949
158,78,6086826.124365696,6086748.712394341,6087504.643508292,6088567.484928593,3632,0,1064,6,0,2294,59,0,176,0,0,976,57,0,0,2582,58,924,1572,685,0,84,683,1038,795,488,206,285,0,0,0,3258,25,345,618,371,1220,837,286,35,1039,1646,326,92,285,27,0,20,1481,396,1516,241,533,75,171,210,44,47,1164,864,223,241,24,377,271,2812,9,0,822,340,1214,877,340,1594,634,297,144,0,0,0,150,26,0,0,3,155,58,0,0,0,0,0,0,0,0,978,323,196,37,6,298,241,1056,3363,1638,809,517,260,115,1638,1098,0,216,230,6,115,1638,1005,354,224,57,16,0,0,0,6388,435,621,844,681,1015,882,847,728,375,911,981,1687,1293,1542,2696,2492,529,664,12,0,0,0,5158,431,357,356,35,3029,3357,823,2676,2882,5661,172,345,172,0,5661,3,0,26,0,3,3,0,46,6,15,234,11,293,5661,722,5865,492,0,3,MixedUseArea_Residential,12,Bremen,29,236,553,16394,12,1,0.0,1220,1405,169569.17747334883,14769.55174650684,6088401.054534489,6089453.229346099
159,79,6087462.991122147,6087386.7417306,6088142.807275474,6089205.894672417,2769,0,995,0,0,1611,6,0,126,0,0,206,0,0,0,2565,252,508,1073,569,0,375,253,599,576,428,245,225,0,0,0,2523,191,51,469,386,1396,135,76,190,207,1319,76,151,462,369,15,35,1138,320,1045,232,578,227,179,220,39,15,345,174,737,232,605,219,286,1486,59,0,1010,287,368,174,939,1435,533,356,141,0,0,0,92,22,0,12,0,102,36,0,0,0,0,0,0,0,0,766,329,195,62,47,214,190,1003,2618,1083,653,569,185,71,1083,1057,0,147,155,16,71,1083,769,342,229,80,61,0,0,0,5619,522,731,819,583,812,710,609,558,269,1057,1034,1395,1043,1109,2529,2348,392,339,0,0,0,0,3965,374,515,550,178,2770,2857,606,1950,3063,4277,266,613,382,55,4277,3,40,6,4,0,3,0,58,43,13,340,16,749,4277,1340,5023,517,3,57,CommercialBuildingArea_Residential,4,Bremen,43,718,4486,14063,12,0,0.0,1039,417,75633.70985996607,15571.368663873796,6089039.537253848,6090091.734418514
160,80,6089218.114528311,6089141.81488191,6089897.874537799,6090960.951116641,2543,0,1444,0,0,938,3,0,97,0,0,316,0,0,0,2230,25,237,929,842,0,41,176,264,603,501,461,364,0,0,0,2521,6,9,122,206,1622,303,53,3,318,1655,147,46,241,25,0,0,1283,329,863,36,810,109,463,227,24,19,200,328,319,36,392,96,73,1843,12,0,1418,286,208,344,319,1554,665,338,131,0,0,0,70,30,3,0,0,67,43,0,0,0,0,0,0,0,0,898,297,221,24,9,315,175,1001,2405,761,778,577,158,42,761,1175,0,149,140,3,42,761,918,318,241,40,15,0,0,0,5374,419,603,535,467,818,708,721,688,374,896,680,1291,1072,1441,2021,2555,425,345,3,0,0,0,4586,305,150,196,54,2568,2793,672,2549,2143,5054,96,127,52,0,5054,6,3,16,0,3,0,3,20,3,3,47,0,145,5054,307,5048,313,0,0,OtherArea_Residential,4,Bremen,2,43,6188,18189,1,0,0.0,114,336,53582.39939312098,17296.66109471103,6090794.590477531,6091846.786655991
161,81,6089653.305394413,6089575.600063667,6090331.497117479,6091394.276147592,3672,0,1618,5,0,1852,10,0,112,0,0,420,0,0,0,3243,0,767,1512,787,0,12,348,787,997,688,463,289,0,0,0,3611,0,47,140,380,2517,244,160,3,423,1999,218,6,851,0,0,0,1394,531,1598,115,705,349,343,311,105,21,864,713,132,115,436,425,117,2535,9,0,1425,458,880,802,132,2114,857,469,193,0,0,0,87,19,0,6,3,160,102,0,0,0,0,0,0,0,0,1247,424,281,62,6,384,294,1401,3492,1281,987,762,344,42,1281,1557,0,166,278,18,42,1281,1223,469,336,62,15,0,0,0,7420,594,810,724,753,1291,1013,909,891,387,1222,892,2061,1482,1743,2847,3387,577,569,6,0,0,0,6042,396,589,267,56,3612,3787,796,3352,3267,6596,125,573,69,0,6596,0,6,9,0,0,0,0,36,0,6,495,0,188,6596,796,6900,510,0,0,Residential,2,Bremen,44,453,3467,26012,31,3,0.0,1909,322,67904.07056961894,17570.337267988176,6091227.827230204,6092279.996357017
162,81,6089653.305394413,6089575.600063667,6090331.497117479,6091394.276147592,3672,0,1618,5,0,1852,10,0,112,0,0,420,0,0,0,3243,0,767,1512,787,0,12,348,787,997,688,463,289,0,0,0,3611,0,47,140,380,2517,244,160,3,423,1999,218,6,851,0,0,0,1394,531,1598,115,705,349,343,311,105,21,864,713,132,115,436,425,117,2535,9,0,1425,458,880,802,132,2114,857,469,193,0,0,0,87,19,0,6,3,160,102,0,0,0,0,0,0,0,0,1247,424,281,62,6,384,294,1401,3492,1281,987,762,344,42,1281,1557,0,166,278,18,42,1281,1223,469,336,62,15,0,0,0,7420,594,810,724,753,1291,1013,909,891,387,1222,892,2061,1482,1743,2847,3387,577,569,6,0,0,0,6042,396,589,267,56,3612,3787,796,3352,3267,6596,125,573,69,0,6596,0,6,9,0,0,0,0,36,0,6,495,0,188,6596,796,6900,510,0,0,Residential,2,Bremen,44,453,3467,26012,31,3,0.0,1909,322,67904.07056961894,17570.337267988176,6091227.827230204,6092279.996357017
163,82,6091591.779009486,6091513.630696183,6092269.476416211,6093332.161472072,4276,0,1568,3,0,2473,18,0,154,0,0,944,0,0,5,3317,20,1437,1560,783,0,99,576,1256,1051,523,403,301,0,0,0,4142,0,131,513,516,2586,355,122,0,952,2122,673,0,370,19,0,3,1748,680,1703,123,625,170,390,425,88,61,1633,610,134,123,22,686,342,3070,21,3,1214,574,1669,662,147,2032,815,356,164,0,0,0,187,40,3,9,12,197,75,0,0,0,0,0,0,0,0,1281,428,247,18,6,431,239,1370,4054,1892,1019,619,385,84,1892,1357,0,281,332,20,84,1892,1295,461,273,36,21,0,0,0,7812,523,721,941,846,1302,1061,947,911,572,1082,1102,2147,1538,1946,3160,3083,712,855,3,0,0,0,6440,513,423,285,96,3783,4036,1060,3560,3193,7069,197,393,96,8,7069,3,22,11,0,3,3,0,75,0,3,308,0,220,7069,742,7278,497,0,11,Residential,2,Bremen,19,316,1763,20792,139,103,0.0,371,392,87369.74602625208,19492.820239820423,6093165.684671086,6094217.845234549
164,83,6093587.214758067,6093508.662667582,6094264.461581817,6095327.060949378,4738,0,1651,3,0,2758,29,0,247,0,0,822,6,0,0,3882,6,1118,2050,916,0,41,586,1444,1113,703,394,372,0,0,0,4587,0,144,605,703,2475,493,222,3,832,2394,489,0,687,61,0,13,2596,796,1197,72,665,312,288,450,73,55,1339,884,526,72,71,472,250,3709,24,0,1325,614,1372,902,526,2475,882,575,234,0,0,0,155,82,6,9,12,219,112,0,0,0,0,0,0,0,0,1355,542,372,72,55,396,323,1726,4412,1800,1065,960,464,101,1800,1706,0,293,388,33,101,1800,1370,568,383,105,82,0,0,0,9560,956,1170,1229,1113,1499,1215,1062,907,420,1853,1496,2597,1737,1909,4255,3782,674,857,3,0,0,0,7411,539,960,507,69,4756,4808,1176,3903,4486,7952,268,1121,128,35,7952,0,23,15,3,0,0,0,39,0,9,767,0,622,7952,1605,8669,837,3,42,CommercialBuildingArea_Residential,6,Bremen,223,5227,87,26117,244,5573,0.0,3216,1239,200974.89274051943,21487.87423842576,6095160.558725281,6096212.711473446
165,84,6092957.834025748,6092881.150423187,6093637.165511099,6094700.160445826,2168,0,1145,3,0,879,11,0,88,0,0,419,0,0,3,1738,34,381,729,604,0,62,171,380,542,372,264,290,0,0,0,2068,52,37,277,264,1096,253,126,0,425,1377,136,0,51,109,0,0,1236,266,617,30,631,140,163,266,49,61,351,288,173,30,6,210,156,1690,19,0,953,380,370,288,174,1185,480,253,140,0,0,0,61,3,0,6,3,63,30,0,0,0,0,0,0,0,0,668,272,160,21,6,202,147,809,2037,776,559,452,149,33,776,904,0,96,120,15,33,776,665,299,187,27,12,0,0,0,4375,262,519,431,377,719,635,528,510,382,690,536,1100,908,1156,1617,1948,459,336,0,0,0,0,3759,225,139,162,46,2092,2273,563,2346,1449,4158,40,96,43,3,4158,0,0,3,0,3,0,0,10,0,3,54,0,91,4158,205,4122,252,0,3,CommercialBuildingArea_Residential,2,Bremen,61,7765,59,3723,49,2541,0.0,10228,479,112048.53386496931,20954.99942465695,6094533.775559043,6095585.964313735
166,85,6095194.333529508,6095116.346909101,6095872.211176863,6096934.93008488,5945,0,2137,0,0,3409,22,0,309,0,0,354,0,0,0,5575,30,1717,2147,1184,0,29,911,1787,1161,925,518,437,0,0,0,5853,0,85,159,536,4179,464,272,3,357,2780,1539,519,440,23,0,0,2017,1438,2348,80,1096,343,434,488,161,86,2115,774,331,80,269,302,787,4322,28,0,1922,763,2139,809,331,3241,1227,664,348,0,0,0,150,76,0,24,6,252,155,0,0,0,0,0,0,0,0,1816,683,453,110,38,508,440,2248,5571,2165,1442,1230,547,120,2165,2322,0,312,452,44,120,2165,1804,748,505,134,53,0,0,0,11743,1027,1327,1425,1195,1898,1660,1374,1294,553,2025,1750,3107,2352,2528,4761,5076,903,987,6,0,0,0,9364,664,899,680,57,5760,5980,1474,5463,4802,10475,202,827,145,15,10475,0,0,15,3,6,0,0,60,0,13,702,0,329,10475,1254,10641,1073,6,15,AgriculturalArea_Residential,3,Bremen,267,836,4831,35060,1486,2710,0.0,5708,400,101396.40035836564,23098.11451346677,6096768.463302566,6097820.62694153
167,86,6097437.625991529,6097359.932430221,6098115.830501988,6099178.611210283,1428,0,836,6,0,496,0,0,55,0,0,174,3,0,0,1252,3,168,392,422,0,25,65,222,352,247,225,215,0,0,0,1381,0,48,109,114,893,149,24,0,178,1083,44,3,29,35,0,0,985,264,141,22,527,168,37,256,79,4,228,33,77,22,19,154,30,1153,9,0,747,341,248,33,77,861,370,166,85,0,0,0,40,9,0,0,3,48,6,0,0,0,0,0,0,0,0,521,178,88,6,3,136,108,580,1340,443,428,306,98,12,443,653,0,63,72,3,12,443,505,195,96,15,3,0,0,0,2913,227,308,279,255,496,464,358,320,153,468,367,776,667,644,1066,1436,227,173,0,0,0,0,2566,118,49,116,15,1469,1437,331,1607,971,2799,27,31,30,0,2799,0,0,8,0,0,0,0,9,0,0,25,0,47,2799,99,2765,147,0,0,CommercialBuildingArea_Residential,4,Bremen,273,5429,2359,13645,2614,6740,0.0,24216,339,109142.4050849868,25349.805292285386,6099012.162744797,6100064.332006098
168,1,5153588.474135714,5152940.027323487,5139694.908886491,5153588.474135714,457,0,172,0,0,256,0,0,6,0,0,205,3,0,0,249,3,68,196,74,0,0,77,118,110,55,49,33,0,0,0,453,0,3,79,79,17,164,50,0,210,242,0,0,3,0,0,0,359,52,34,10,87,32,9,74,0,0,172,72,0,10,6,31,0,395,14,0,132,82,175,72,0,308,111,54,27,0,0,0,48,20,0,0,0,6,3,0,0,0,0,0,0,0,0,177,75,19,3,0,37,26,229,440,121,156,120,19,13,121,204,0,67,19,0,13,121,174,80,27,6,0,0,0,0,957,82,64,124,151,166,122,123,90,34,135,134,326,197,189,405,444,45,64,0,0,0,0,911,9,6,9,3,475,478,21,156,777,948,3,0,0,0,948,0,0,0,0,0,0,3,0,0,0,0,0,0,948,6,948,10,0,0,Residential,4,Dresden,87,1758,2506,5612,0,0,,5178,20,4146.149447837909,6865.388590540476,5152622.391030827,5153233.087597171
169,4,5151968.73500647,5151322.3336295085,5138071.541312448,5151968.73500647,2606,0,0,0,0,2576,0,0,28,0,0,0,0,0,0,2601,249,1372,933,0,0,247,393,982,846,115,0,0,0,0,0,2606,0,0,0,0,2605,0,0,0,0,0,1348,0,1235,0,0,0,214,0,1150,1235,0,0,0,0,0,0,0,508,853,1235,2597,0,0,0,0,0,0,0,0,966,1628,903,547,56,42,0,0,0,134,36,0,0,0,44,25,0,0,0,0,0,0,0,0,755,107,27,3,0,415,87,404,2577,1638,681,135,84,35,1638,645,0,172,76,0,35,1638,759,126,31,3,0,0,0,0,3620,116,96,618,270,298,353,335,1045,471,190,653,573,489,1716,1306,1354,483,473,3,0,0,0,3329,94,70,110,12,1577,2043,99,439,3082,3493,15,43,58,0,3493,0,0,0,0,0,0,0,3,0,7,0,9,90,3493,127,3535,80,0,0,AgriculturalArea_MixedUseArea_Residential,3,Dresden,0,0,0,0,0,0,,5070,29,3282.871718129537,6539.948743146892,5151002.493282142,5151613.606942597
170,6,5151910.560343696,5151261.583292246,5138017.9386589965,5151910.560343696,7208,0,783,0,0,6090,50,0,249,0,0,1251,61,5,28,5843,55,2387,3765,535,0,111,569,2555,2613,921,211,105,0,0,0,7106,0,99,2053,3810,395,247,416,3,1363,2363,2047,21,674,417,0,3,2306,1107,3584,168,94,137,194,96,65,28,2462,3294,590,168,2054,551,30,4289,90,0,467,212,2513,3385,612,3811,1516,687,212,0,0,0,432,417,0,6,3,309,73,0,0,0,0,0,0,0,0,2299,890,494,75,6,751,286,2761,6892,2913,1943,1366,490,131,2913,2442,0,856,449,18,131,2913,2328,954,530,83,12,0,0,0,13152,1494,896,1815,1934,2108,1430,1366,1324,759,2241,1976,4038,2048,2850,6117,5224,817,992,9,0,0,0,12639,202,69,127,24,6311,6836,463,2012,10666,12940,48,40,62,0,12940,0,3,3,0,0,0,0,3,3,12,6,6,107,12940,188,12972,176,0,0,AgriculturalArea_CommercialBuildingArea_Residential,23,Dresden,415,7379,14,1802,0,2,,28175,322,17146.2578934105,5457.048235429482,5150944.518504383,5151555.10681176
171,7,5151120.064984369,5150471.367408088,5137226.946713393,5151120.064984369,98,0,65,0,0,15,0,0,3,0,0,3,0,0,0,95,0,0,15,24,0,0,0,3,24,14,18,12,0,0,0,96,0,0,27,9,0,13,25,3,3,95,0,0,0,0,0,0,90,3,0,0,61,3,0,35,0,0,0,0,0,0,0,0,0,86,0,0,68,35,0,0,0,67,32,16,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,9,10,0,0,12,6,46,89,12,34,22,3,0,12,51,0,3,3,0,0,12,36,9,10,0,0,0,0,0,235,21,18,22,21,41,47,12,25,12,33,29,56,64,47,80,141,6,8,0,0,0,0,223,4,3,3,0,123,110,18,68,142,228,5,3,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,3,228,8,232,0,0,0,AgriculturalArea_Residential,2,Dresden,0,0,321,536,0,0,,720,28,622.8112009089214,4520.254898912096,5150154.001402706,5150764.646742341
172,8,5154494.602285942,5153844.578978541,5140603.841769594,5154494.602285942,1120,0,555,0,0,483,11,0,53,0,0,270,28,0,0,823,11,159,481,248,0,18,72,218,333,213,112,87,0,0,0,1101,0,16,134,359,35,183,243,14,299,721,0,0,72,13,0,0,723,177,96,120,186,126,50,158,38,12,247,181,14,120,140,51,28,810,38,12,383,209,255,278,14,708,327,107,77,0,0,0,36,46,0,0,0,24,6,0,0,0,0,0,0,0,0,415,150,82,9,0,121,66,492,1048,325,377,271,46,9,325,531,0,110,36,0,9,325,408,157,90,15,6,0,0,0,2241,186,158,282,228,368,400,290,217,80,324,311,603,537,472,855,1116,119,138,0,0,0,0,2173,36,0,9,0,1125,1111,55,413,1757,2217,12,3,4,0,2217,0,0,3,0,0,0,0,3,0,0,0,0,7,2217,22,2223,18,0,0,AgriculturalArea_Residential,14,Dresden,168,5991,13,944,0,0,,9551,8,730.3865901959505,8760.123855105949,5153528.641976219,5154139.016672051
173,10,5139326.834840648,5138679.341580459,5125431.5833803965,5139326.834840648,571,0,164,0,0,361,0,0,37,0,0,149,3,0,0,421,10,162,232,91,0,6,47,210,157,69,42,22,0,0,0,559,0,10,217,157,19,48,85,3,153,310,24,0,47,31,0,3,465,95,9,0,45,32,6,57,10,3,205,154,58,0,13,25,26,468,7,0,86,67,205,154,58,321,150,74,3,0,0,0,24,19,0,6,0,16,0,0,0,0,0,0,0,0,0,204,51,46,9,0,56,18,235,528,195,178,106,32,6,195,232,0,52,26,6,6,195,193,65,48,12,0,0,0,0,1065,117,70,123,160,160,169,127,107,44,179,131,318,233,212,444,480,50,73,6,0,0,0,1028,12,4,12,0,508,554,30,195,838,1049,6,0,3,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,4,1049,11,1049,17,0,0,AgriculturalArea_Residential,8,Dresden,6,1529,5,26,0,0,,4766,7,159.7676043812235,7575.022200830219,5138360.677806552,5138971.568620984
174,11,5150806.535809748,5150158.742446878,5136911.811254329,5150806.535809748,17,0,6,0,0,8,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,7,3,0,0,0,0,0,0,14,0,3,9,5,0,3,0,0,0,17,0,0,0,0,0,0,3,3,9,3,0,0,0,3,3,3,6,0,0,3,0,4,0,9,0,0,0,10,6,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,15,9,3,3,0,0,9,3,0,3,0,0,0,9,3,0,0,0,0,0,0,0,33,7,0,6,4,8,0,0,0,0,7,6,14,0,0,23,9,0,0,0,0,0,0,33,0,0,0,0,18,16,0,3,30,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,Residential,1,Dresden,58,1582,3398,3899,0,0,,967,13,5518.605211728828,4146.402227180067,5149840.401964698,5150451.231796915
175,12,5149209.742962716,5148562.752921792,5135313.593927325,5149209.742962716,585,0,238,0,0,315,14,0,3,0,0,274,0,0,0,309,0,127,187,102,0,13,67,147,112,83,72,43,0,0,0,577,0,3,36,28,33,210,214,3,275,296,0,0,0,0,0,0,454,74,32,23,146,46,0,69,6,0,45,126,124,23,8,15,3,533,3,0,198,80,54,134,124,394,202,66,37,0,0,0,12,13,0,0,0,6,0,0,0,0,0,0,0,0,0,244,75,54,3,0,76,47,257,564,160,215,147,22,6,160,327,0,30,12,0,6,160,237,79,54,3,0,0,0,0,1212,94,73,102,112,207,226,169,159,65,155,115,327,317,304,388,682,77,65,3,0,0,0,1188,3,0,0,0,591,616,14,146,1046,1210,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,1208,3,0,0,MixedUseArea_Residential,8,Dresden,80,4093,6562,3578,8,112,,5100,48,6457.22603809126,3604.413591159703,5148243.546834679,5148854.540453449
